,,Solo,Duo,Squad,Other
,name,score,score,score,score
8,rank_by_group,0.052730853,0.052941101,0.059342593,0.070594207
3,kills_norm,0.070209471,0.078613434,0.097461869,0.098131818
4,damageDelt_norm,0.070976946,0.078583692,0.097598453,0.10400965
7,group_ct,0.071556916,0.07907094,0.097172359,0.105993378
5,sum_by_group,0.071923859,0.074724593,0.087934662,0.09753212
3,min_by_group,0.072190855,0.077084669,0.095140928,0.104916512
8,distance_per_kill,0.072376195,0.07887159,0.098803826,0.097889927
4,max_by_group,0.072444231,0.067918935,0.074224267,0.081600958
10,heal_per_kill,0.072476531,0.079499649,0.098402023,0.102644473
1,group_ct,0.072637491,0.07907094,0.097172359,0.105993378
5,headshotAcc,0.072715624,0.078208876,0.097185547,0.100240023
13,distance_per_heal,0.072800231,0.078717851,0.098378703,0.105387571
6,median_by_group,0.072824166,0.066861036,0.075263895,0.08460242
1,lobby_ct,0.072943234,0.079058516,0.097788351,0.101158959
0,original,0.073029188,0.078902459,0.097777962,0.098291471
11,kill_per_heal,0.073086401,0.076577217,0.096039497,0.103014644
6,total_distance,0.073091386,0.07913665,0.098398433,0.101120522
7,mean_by_group,0.073190497,0.066850646,0.074353271,0.084524047
9,kill_per_distance,0.073195128,0.079123871,0.098753913,0.096781867
12,heal_per_distance,0.073326648,0.079514908,0.098315478,0.100185534
2,group_killPlace_avg,0.07349132,0.074760713,0.087356564,0.091895172
0,original,0.073504947,0.078902459,0.097777962,0.098291471
2,total_heals,0.073993245,0.078871628,0.098411456,0.096764568
